"","ID...1","M_area","SD_area","M_perim","SD_perim","ID...6","M_area_day","M_area_month","M_area_number","SD_area_day","SD_area_month","SD_area_number","M_perim_day","M_perim_month","M_perim_number","SD_perim_day","SD_perim_month","SD_perim_number"
"19","156_LoGr",250.741379310345,252.946816982011,199.684586585244,204.046764126684,"156_LoGr",256.214285714286,286.958333333333,203.45,220.877543642884,320.053173595532,168.82838409421,179.512450899851,159.40665008869,262.138605360884,160.587753621262,102.263700673894,294.481406867145
"20","157_OlJe",1650.08620689655,2436.73865057435,268.706171950251,180.505276178789,"157_OlJe",3344.92857142857,1133.75,1083.3,4303.84598146156,1134.01161180752,733.747884917353,411.123334112875,190.866432562162,262.421845702121,291.421134549753,77.440802851838,92.5494708206163
"21","158_JuWa",21837.7413793103,27885.0843220952,880.257704734315,400.232151490614,"158_JuWa",9373.64285714286,32673.5416666667,17559.65,10714.0045339533,38183.6539534122,13781.2825107287,883.560833857647,998.731308924468,735.777189319797,332.802390029089,479.161538441781,287.270881660442
"22","160_ToPa",3359.10344827586,3577.92172049798,376.074645448772,220.056186376717,"160_ToPa",3369.64285714286,4032.79166666667,2543.3,4738.99145690003,3732.98559825587,2098.69990790686,419.025264122996,349.724576566475,377.629295035571,265.818314969505,156.201554752058,251.448789295208
"23","161_FrCo",7641.1724137931,11895.0432631225,504.557005111123,453.33110472404,"161_FrCo",5453.92857142857,7332.41666666667,9542.75,5387.96163285735,13077.4702744289,13632.6553866898,380.977144346553,573.731485049929,508.053531719757,238.739528567443,546.661196293738,438.69563737283
"24","1_LD",14152.1034482759,18173.9030226416,665.098029671243,407.507664139052,"1_LD",4087.71428571429,20197.9166666667,13942.2,6732.13723599614,21418.5068175365,16606.9333161038,414.912644946084,866.225681993911,598.874616191653,274.377923630994,435.692825043019,333.705631951673
"25","2002_PaKr",1527.55357142857,2658.8524542745,196.551665572497,107.632714071165,"2002_PaKr",815.5,1951.45833333333,NA,1113.05138021567,3792.76627914432,NA,162.811678361302,201.4776289092,NA,64.9679526233046,137.611718181153,NA
"26","2006_MeFu",159.236842105263,155.58877533832,83.9510732263316,43.250357185677,"2006_MeFu",77.0714285714286,207.166666666667,NA,58.1389038670075,174.320066872078,NA,93.5092503192927,78.3754699221042,NA,60.3086588679857,28.7714467136599,NA
"27","2008_SaMa",790.362068965517,962.95911940099,192.225361980192,138.049352567182,"2008_SaMa",1193.64285714286,766.791666666667,536.35,1089.07670922274,1136.21845469334,434.283419892014,198.277041395407,184.493521785266,197.267394623452,97.8027744345772,180.567045561413,102.184432559692
"28","2009_YaAh",225.172413793103,226.325486284201,89.739827001511,39.1815696868619,"2009_YaAh",256,175.083333333333,263.7,283.553566367979,149.285273410149,253.412727274751,89.3289461622085,73.0803726459506,110.018788815695,42.7231339523767,28.583503140318,39.2137894514324
