"","ID","group","triangle_area","Consistency","totLineCross","SynQuest","SynCons","SynSD","SynPermzs","SynLine"
"111",31795,"Syn",3,0.13275297457965,620,FALSE,TRUE,TRUE,TRUE,FALSE
"112",31887,"Syn",48,0.0222469934782029,1914,TRUE,TRUE,TRUE,FALSE,FALSE
"113",32074,"Syn",5520,0.236312255375545,505,TRUE,FALSE,FALSE,TRUE,FALSE
"114",32145,"Ctl",7680.5,0.308336667636646,1893,FALSE,FALSE,FALSE,FALSE,FALSE
"115",32190,"Ctl",0,0.0676220664995274,2193,FALSE,TRUE,FALSE,FALSE,FALSE
"116",32513,"Ctl",0,0,2610,FALSE,TRUE,FALSE,FALSE,FALSE
"117",32633,"Ctl",0,0.000686729203787164,2071,FALSE,TRUE,FALSE,TRUE,FALSE
"118",32846,"Ctl",0,0.00322980227992999,2459,FALSE,TRUE,FALSE,FALSE,FALSE
"119",32959,"Ctl",0,0.0199687754048607,2574,FALSE,TRUE,FALSE,FALSE,FALSE
"120",33010,"Ctl",2437.5,0.84104990100689,682,TRUE,FALSE,TRUE,TRUE,FALSE
"121",33160,"Syn",1385,0.318061296679401,206,TRUE,FALSE,TRUE,TRUE,TRUE
"122",33168,"Syn",0,0,2346,TRUE,TRUE,TRUE,FALSE,FALSE
"123",33327,"Ctl",0,0.0155599732461356,2406,FALSE,TRUE,FALSE,FALSE,FALSE
"124",33342,"Ctl",0,0.0625294451155493,2339,FALSE,TRUE,FALSE,FALSE,FALSE
"125",33344,"Syn",1,0.145723139863613,684,TRUE,TRUE,TRUE,TRUE,FALSE
"126",33361,"Ctl",74,0.000294655997130307,2610,TRUE,TRUE,FALSE,FALSE,FALSE
"127",33531,"Syn",287,0.0689087622432975,697,FALSE,TRUE,TRUE,TRUE,FALSE
"128",33653,"Syn",0,0.0115357811631191,2532,TRUE,TRUE,FALSE,FALSE,FALSE
"129",34096,"Ctl",6822.5,0.680403169627308,674,FALSE,FALSE,TRUE,TRUE,FALSE
"130",34364,"Ctl",0,0,2380,FALSE,TRUE,FALSE,FALSE,FALSE
"131",34405,"Ctl",0,0,2598,FALSE,TRUE,FALSE,TRUE,FALSE
"132",34416,"Ctl",0,0,2620,FALSE,TRUE,FALSE,FALSE,FALSE
"133",34433,"Ctl",326,0.419557681832123,551,TRUE,FALSE,TRUE,TRUE,FALSE
"134",34457,"Ctl",0,0.00348785210685821,2504,TRUE,TRUE,FALSE,FALSE,FALSE
"135",34464,"Ctl",16462.5,0.566641537185147,538,TRUE,FALSE,TRUE,TRUE,FALSE
"136",34469,"Ctl",4900.5,0.712058896427797,419,FALSE,FALSE,TRUE,TRUE,TRUE
"137",34720,"Ctl",0,0,2670,FALSE,TRUE,FALSE,FALSE,FALSE
"138",34732,"Ctl",3165.5,0.212117136008692,272,FALSE,FALSE,TRUE,TRUE,TRUE
"139",34753,"Ctl",0,0.00300158008884677,2670,FALSE,TRUE,FALSE,FALSE,FALSE
"140",34757,"Ctl",22080.5,0.842287387926172,1731,FALSE,FALSE,TRUE,FALSE,FALSE
"141",34771,"Ctl",0,0,2542,TRUE,TRUE,FALSE,FALSE,FALSE
"142",34966,"Ctl",4618,0.235965834623411,2367,FALSE,FALSE,FALSE,FALSE,FALSE
"143",35070,"Ctl",0,0.00380688241944601,2223,FALSE,TRUE,FALSE,FALSE,FALSE
"144",35415,"Ctl",0,0,2548,FALSE,TRUE,FALSE,FALSE,FALSE
"145",35430,"Ctl",78,0.0393146149215283,310,FALSE,TRUE,TRUE,TRUE,TRUE
"146",35554,"Ctl",24,0.00227636691425657,2285,FALSE,TRUE,FALSE,TRUE,FALSE
"147",35556,"Ctl",723,0.238650597047641,2049,FALSE,FALSE,TRUE,FALSE,FALSE
"148",35666,"Ctl",0,0,2567,FALSE,TRUE,FALSE,FALSE,FALSE
"149",35732,"Ctl",9644.5,0.347280846091477,1335,FALSE,FALSE,TRUE,TRUE,FALSE
"150",35733,"Ctl",0,0.00414190161656774,2393,FALSE,TRUE,FALSE,FALSE,FALSE
"151",35736,"Ctl",2,4.22485028773578e-05,2487,FALSE,TRUE,FALSE,FALSE,FALSE
"152",35992,"Ctl",650,0.105193468797077,1600,FALSE,TRUE,FALSE,TRUE,FALSE
"153",35994,"Ctl",0,0.00297255295092398,2439,TRUE,TRUE,FALSE,FALSE,FALSE
"154",36050,"Ctl",0,0.0401835351077382,2452,FALSE,TRUE,FALSE,FALSE,FALSE
"155",36059,"Ctl",0,5.1042789608038e-05,2460,FALSE,TRUE,FALSE,FALSE,FALSE
"156",36062,"Ctl",846.5,0.973816224472715,1318,FALSE,FALSE,TRUE,TRUE,FALSE
"157",36067,"Ctl",28137,1.32004859552913,669,FALSE,FALSE,TRUE,TRUE,FALSE
"158",36096,"Ctl",15050,0.602091061628344,2534,FALSE,FALSE,TRUE,FALSE,FALSE
"159",36196,"Ctl",1,0.000351692626271721,2172,FALSE,TRUE,FALSE,TRUE,FALSE
"160",36344,"Ctl",14,0.135145664652775,967,TRUE,TRUE,FALSE,FALSE,FALSE
"161",36403,"Ctl",1545,0.105640536717205,2232,FALSE,TRUE,FALSE,FALSE,FALSE
"162",36525,"Ctl",5312.5,0.188317952732117,1789,FALSE,TRUE,FALSE,FALSE,FALSE
"163",36540,"Ctl",0,0,2670,FALSE,TRUE,FALSE,FALSE,FALSE
"164",36660,"Ctl",41.5,0.00273086031455634,2429,FALSE,TRUE,TRUE,FALSE,FALSE
"165",36737,"Ctl",102,0.00983086787499369,2456,FALSE,TRUE,FALSE,FALSE,FALSE
"166",36795,"Ctl",0,0,2670,FALSE,TRUE,FALSE,TRUE,FALSE
"167",36796,"Ctl",658.5,0.0375943083429258,1901,FALSE,TRUE,FALSE,FALSE,FALSE
"168",36820,"Ctl",1111,0.127668781687514,1987,FALSE,TRUE,TRUE,FALSE,FALSE
"169",36828,"Ctl",1552,1.6036510695267,2066,FALSE,FALSE,TRUE,TRUE,FALSE
"170",36911,"Ctl",0,0.0465565245821667,2650,FALSE,TRUE,TRUE,FALSE,FALSE
"171",36918,"Ctl",0,0.00232614956866443,2494,FALSE,TRUE,TRUE,FALSE,FALSE
"172",37055,"Ctl",0,0.0199305929209751,2256,FALSE,TRUE,FALSE,TRUE,FALSE
"173",37078,"Ctl",2,0.00463504053278492,2061,FALSE,TRUE,FALSE,FALSE,FALSE
"174",37578,"Ctl",195,0.107996081608738,225,FALSE,TRUE,TRUE,TRUE,TRUE
"175",37637,"Ctl",12,0.019501149826623,1349,FALSE,TRUE,FALSE,FALSE,FALSE
"176",37643,"Ctl",0,0,2670,FALSE,TRUE,FALSE,TRUE,FALSE
"177",37652,"Ctl",39.5,0.0302307602543906,304,FALSE,TRUE,FALSE,TRUE,TRUE
"178",37662,"Ctl",170,0.023234377404605,1471,FALSE,TRUE,FALSE,FALSE,FALSE
"179",37904,"Ctl",21,0.000911902511199704,2374,FALSE,TRUE,FALSE,FALSE,FALSE
"180",37928,"Ctl",0,0,2670,FALSE,TRUE,FALSE,TRUE,FALSE
"181",38140,"Ctl",0,5.38660842973439e-05,2574,FALSE,TRUE,FALSE,FALSE,FALSE
"182",38175,"Ctl",3721,1.43387370381631,1464,FALSE,FALSE,TRUE,TRUE,FALSE
"183",38176,"Ctl",1164,0.171910566398683,2135,FALSE,TRUE,TRUE,TRUE,FALSE
"184",38181,"Ctl",0,0,2670,FALSE,TRUE,FALSE,TRUE,FALSE
"185",38226,"Ctl",108,0.0022519216397993,1999,FALSE,TRUE,FALSE,FALSE,FALSE
"186",38379,"Ctl",278,0.00745856163913264,2182,FALSE,TRUE,FALSE,FALSE,FALSE
"187",38444,"Ctl",45.5,0.0420631230028139,1630,FALSE,TRUE,FALSE,TRUE,FALSE
"188",38626,"Ctl",4784,0.275599093462874,1616,FALSE,FALSE,TRUE,FALSE,FALSE
"189",38637,"Ctl",326.5,0.332578936152476,350,TRUE,FALSE,TRUE,TRUE,TRUE
"190",38704,"Ctl",0,0,2548,FALSE,TRUE,FALSE,FALSE,FALSE
"191",38750,"Ctl",53747,0.867903574012787,1711,FALSE,FALSE,TRUE,TRUE,FALSE
"192",38791,"Syn",5,0.0990397334275761,2260,TRUE,TRUE,TRUE,FALSE,FALSE
"193",38813,"Syn",0,0.000969034046515262,2360,FALSE,TRUE,FALSE,TRUE,FALSE
"194",38815,"Syn",997,0.100878925849666,341,TRUE,TRUE,TRUE,TRUE,TRUE
"195",38820,"Syn",0,0.00478599811422414,2670,TRUE,TRUE,FALSE,FALSE,FALSE
"196",38822,"Ctl",163.5,0.0174548080400262,2558,TRUE,TRUE,TRUE,FALSE,FALSE
"197",38837,"Syn",0,1.68710265358303e-05,2386,FALSE,TRUE,FALSE,FALSE,FALSE
"198",38862,"Ctl",8952,0.343095048091058,2284,FALSE,FALSE,FALSE,FALSE,FALSE
"199",38908,"Syn",4233,0.569712080234393,304,FALSE,FALSE,TRUE,TRUE,TRUE
"200",38916,"Ctl",0,0,2610,FALSE,TRUE,FALSE,FALSE,FALSE
"201",39032,"Ctl",0,0,2670,TRUE,TRUE,FALSE,TRUE,FALSE
"202",39188,"Syn",250,0.267001420130167,422,TRUE,FALSE,TRUE,TRUE,TRUE
"203",39200,"Syn",146.5,0.0614895141807559,294,TRUE,TRUE,TRUE,TRUE,TRUE
"204",39208,"Syn",33,0.0130265668574784,268,TRUE,TRUE,TRUE,TRUE,TRUE
"205",39216,"Syn",41.5,0.00756090613585336,431,TRUE,TRUE,TRUE,TRUE,TRUE
"206",39217,"Syn",36.5,0.183181905541296,363,TRUE,TRUE,TRUE,TRUE,TRUE
"207",39236,"Syn",379,0.172268466746711,308,TRUE,TRUE,TRUE,TRUE,TRUE
"208",39237,"Syn",406,0.237431763165695,349,TRUE,FALSE,TRUE,TRUE,TRUE
"209",39254,"Syn",113.5,0.200949688873394,429,TRUE,TRUE,TRUE,TRUE,TRUE
"210",39266,"Syn",10,0.692686250046903,316,FALSE,FALSE,TRUE,TRUE,TRUE
"211",39285,"Syn",497.104561154396,0.320690684144389,397,TRUE,FALSE,TRUE,TRUE,TRUE
"212",39381,"Syn",46.5901620299701,0.0472797474873812,404,FALSE,TRUE,TRUE,TRUE,TRUE
"213",39386,"Ctl",186.5,0.108561283306307,344,TRUE,TRUE,TRUE,TRUE,TRUE
"214",39492,"Syn",6.5,0.0992556781064813,352,TRUE,TRUE,TRUE,TRUE,TRUE
"215",39524,"Syn",518,0.100671623296588,311,TRUE,TRUE,TRUE,TRUE,TRUE
"216",40048,"Syn",59.5,0.0334548391982632,385,TRUE,TRUE,TRUE,TRUE,TRUE
"217",40867,"Syn",2336,1.78719332020057,509,FALSE,FALSE,TRUE,TRUE,FALSE
"218",42688,"Ctl",0,0.00202073725476108,2583,FALSE,TRUE,FALSE,FALSE,FALSE
"219",42698,"Ctl",14.5,0.19996768908732,438,FALSE,TRUE,TRUE,TRUE,TRUE
"220",43416,"Ctl",28062,1.59682921915034,244,FALSE,FALSE,TRUE,TRUE,TRUE
"221",44133,"Ctl",1.5,0.0379951775406602,342,FALSE,TRUE,TRUE,TRUE,TRUE
"222",44137,"Ctl",2.5,0.000460983745184628,2103,FALSE,TRUE,FALSE,FALSE,FALSE
"223",44140,"Ctl",1501.5,0.247985371493616,264,FALSE,FALSE,TRUE,TRUE,TRUE
"224",44141,"Ctl",0,0,2454,FALSE,TRUE,FALSE,TRUE,FALSE
"225",44183,"Ctl",1,0.0535706079367966,265,FALSE,TRUE,TRUE,TRUE,TRUE
"226",44293,"Ctl",315,0.256733391778687,301,FALSE,FALSE,TRUE,TRUE,TRUE
"227",44296,"Ctl",12,0.0529045201905626,488,FALSE,TRUE,FALSE,TRUE,TRUE
"228",44298,"Ctl",133,0.131510485215408,311,FALSE,TRUE,TRUE,TRUE,TRUE
"229",44301,"Ctl",53.5,0.0651510166556998,2420,FALSE,TRUE,FALSE,FALSE,FALSE
"230",44306,"Ctl",19.5,0.0868732300516409,306,FALSE,TRUE,TRUE,TRUE,TRUE
"231",44307,"Ctl",4,0.0448196040868455,289,FALSE,TRUE,TRUE,TRUE,TRUE
"232",44308,"Ctl",178,0.030100676995656,416,FALSE,TRUE,TRUE,TRUE,TRUE
"233",44309,"Ctl",590,0.0859158146094731,469,FALSE,TRUE,TRUE,TRUE,TRUE
"234",44340,"Ctl",0,0.152886688337075,1909,FALSE,TRUE,FALSE,TRUE,FALSE
"235",44341,"Ctl",0,0.278125631398168,361,FALSE,FALSE,TRUE,TRUE,TRUE
"236",44347,"Ctl",5218,0.75415091083701,298,TRUE,FALSE,TRUE,TRUE,TRUE
"237",44351,"Ctl",2,0.0367571489648595,272,FALSE,TRUE,TRUE,TRUE,TRUE
"238",44352,"Ctl",0,0,2530,FALSE,TRUE,FALSE,FALSE,FALSE
"239",44371,"Ctl",4237,1.06092257764375,340,FALSE,FALSE,TRUE,TRUE,TRUE
"240",44414,"Ctl",0,0,2670,FALSE,TRUE,FALSE,FALSE,FALSE
"241",44415,"Ctl",0,0,2640,FALSE,TRUE,TRUE,FALSE,FALSE
"242",44427,"Ctl",221.999999999971,0.0512829635044538,386,FALSE,TRUE,TRUE,TRUE,TRUE
"243",44453,"Ctl",103,0.422721670433275,1998,FALSE,FALSE,TRUE,FALSE,FALSE
"244",44489,"Ctl",10,2.00529825128053,352,FALSE,FALSE,TRUE,TRUE,TRUE
"245",44540,"Ctl",18537,2.66993919020219,654,FALSE,FALSE,TRUE,TRUE,FALSE
"246",44557,"Ctl",0,0.000307380222188257,2435,FALSE,TRUE,FALSE,FALSE,FALSE
"247",44569,"Ctl",312,0.01794422322253,2402,TRUE,TRUE,FALSE,FALSE,FALSE
"248",44582,"Ctl",2340,0.237713437102545,564,FALSE,FALSE,TRUE,TRUE,FALSE
"249",44588,"Ctl",15,2.6388479195037,466,FALSE,FALSE,TRUE,TRUE,TRUE
"250",44589,"Ctl",4,0.738087204760208,216,FALSE,FALSE,TRUE,TRUE,TRUE
"251",44590,"Ctl",15,0.266084841880833,499,FALSE,FALSE,TRUE,TRUE,TRUE
"252",44618,"Ctl",126900,1.34653509219197,314,FALSE,FALSE,TRUE,TRUE,TRUE
"253",44627,"Ctl",93.5,0.0452549014222479,398,FALSE,TRUE,TRUE,TRUE,TRUE
"254",44645,"Ctl",0,0.00219837662099743,2466,FALSE,TRUE,FALSE,FALSE,FALSE
"255",44666,"Ctl",15,0.307194008326377,342,FALSE,FALSE,TRUE,TRUE,TRUE
"256",44671,"Ctl",0,0,2479,FALSE,TRUE,FALSE,FALSE,FALSE
